,Time Period,Total Social Welfare (R/kwh)
0,0,0.36435791482358626
1,1,0.17466267748000686
2,2,0.1440210404880563
3,3,0.18022178235676894
4,4,0.3073111505381776
5,5,1.1903847803530558
6,6,2.5511861872737693
7,7,2.289551696154179
8,8,1.197582684220553
9,9,2.890429092888158
10,10,4.5267822667727025
11,11,5.469396390876873
12,12,2.587628374897109
13,13,0.3010180897122864
14,14,-0.0007918961753614617
15,15,0.8091442324927192
16,16,-0.011272313770186448
17,17,-0.6346655648386523
18,18,-2.534218537296055
19,19,-0.8348973568075522
20,20,-0.8090712088624681
21,21,-0.18783203279992355
22,22,-0.24807967116445423
23,23,-0.21639618609369093
