,Time Period,Total Social Welfare (R/kwh)
0,0,0.5023747479352573
1,1,0.06824648789271054
2,2,0.0351075271728087
3,3,0.10193038218916184
4,4,0.06793832566234803
5,5,0.10145672249458576
6,6,1.1850887291272596
7,7,-15.789612251855825
8,8,-2.828812531172251
9,9,2.7667832798925294
10,10,3.2636580062660654
11,11,2.990691335051796
12,12,1.9895272999471534
13,13,1.528423964170675
14,14,0.4556030642862551
15,15,-1.2932159447853753
16,16,-1.5189045201723053
17,17,-0.8920294798474427
18,18,-22.612545923199008
19,19,-16.83970008510024
20,20,-13.629165520388096
21,21,-1.789333551884054
22,22,-0.6023560937325418
23,23,-0.3249229265929416
