,Time Period,Total Social Welfare (R/kwh)
0,0,0.35385906893907815
1,1,0.05760743757055968
2,2,0.03421758636950398
3,3,0.04538358003453652
4,4,0.08799211986914734
5,5,0.08504796852167562
6,6,1.1373245580777587
7,7,-10.13974748413645
8,8,-22.039857590361922
9,9,-4.274847435289882
10,10,-7.663264725443689
11,11,1.1304671904098287
12,12,0.5155458961016668
13,13,-0.7343407755977811
14,14,-1.313223121557273
15,15,-0.9987968975086216
16,16,-0.41650907140516946
17,17,-1.5351003842608477
18,18,-15.928874050409387
19,19,-11.128606151832539
20,20,-17.46460518190312
21,21,-2.500405636431813
22,22,-1.1363918933978308
23,23,-0.4180355250921084
