,Time Period,Total Social Welfare (R/kwh)
0,0,0.2384265952182021
1,1,0.18928733489208116
2,2,0.16869471135456243
3,3,0.2652700357615304
4,4,0.20589248201985128
5,5,0.4799418570722428
6,6,2.5992130066125623
7,7,0.5723052057722611
8,8,4.154959777497152
9,9,1.7249574378535901
10,10,5.712222185463055
11,11,3.5201004171867987
12,12,4.214111708245564
13,13,1.298096550186433
14,14,-0.5308113737919886
15,15,0.07649485889638902
16,16,0.5771551537265824
17,17,-0.569144548027755
18,18,-2.668423680002908
19,19,-5.395478068868366
20,20,-1.2352635667980982
21,21,-0.551317982710517
22,22,-0.3420871151896582
23,23,-0.23924947836357574
