,Time Period,Total Social Welfare (R/kwh)
0,0,0.678016408546716
1,1,0.26221621842804754
2,2,0.251820454221693
3,3,0.2354527656158445
4,4,0.3311390393915114
5,5,1.1908891506088468
6,6,2.934606435972179
7,7,0.46427944598123494
8,8,3.652010383349168
9,9,4.30957243204776
10,10,5.211192336003632
11,11,5.527111582292454
12,12,4.105968442586871
13,13,3.768434489649122
14,14,2.5884360114574885
15,15,1.2384434011963634
16,16,0.556068505365056
17,17,-0.21109710316262809
18,18,-0.6862321581760619
19,19,-0.9400657688000993
20,20,-4.8338656311414105
21,21,-0.32237499006455717
22,22,-0.5290202653992949
23,23,-0.30293403554022813
