,Time Period,Total Social Welfare (R/kwh)
0,0,0.6457742066451244
1,1,0.0610488786719726
2,2,0.035680689341595614
3,3,0.055886294293367056
4,4,0.078018643910307
5,5,0.10335771881111605
6,6,1.1713919358069145
7,7,-9.696526247540286
8,8,-8.268203502343932
9,9,-4.529281142456295
10,10,-1.618726744338868
11,11,3.5308372215876282
12,12,2.3861195337507985
13,13,0.47016576893704
14,14,-0.23298496445023897
15,15,-2.600890880796616
16,16,-3.0864578182108784
17,17,-0.9532400551689686
18,18,-38.41466756841804
19,19,-70.91106401741861
20,20,-11.700372877979614
21,21,-1.7186182579276195
22,22,-1.6620979007699104
23,23,-0.9418768152749496
