,Time Period,Total Social Welfare (R/kwh)
0,0,0.24372108511171736
1,1,0.2478928144081854
2,2,0.2665283109276301
3,3,0.26834767054023273
4,4,0.3208478393422931
5,5,0.5011794401633758
6,6,2.602058117945495
7,7,0.3025486888424679
8,8,1.8759124800929265
9,9,0.03786969466428802
10,10,1.4814855787271504
11,11,3.50502445548353
12,12,2.953457812291031
13,13,2.396086064365375
14,14,-0.4786798190021695
15,15,-0.04622435061842267
16,16,-0.04628272384104021
17,17,-0.23358274571240395
18,18,-2.785414310691281
19,19,-2.146725628330186
20,20,-3.250327350484904
21,21,-0.34550340564027726
22,22,-0.4108269820221435
23,23,-0.2778903078325033
